WAGE	AGE	AGE2	AGEW	AGEY	CHILDREN	DEGREEW	FEDUCA	FEDUCH	GRADCOLLW	GRADHS	GRADHSW	HAPPINESS	MARRIED	MEDUCA	MEDUCH	SEX	YEARSCOLL	STATE	GRADCOLL	DEGREE
14.72999954	63	3969	0	0	0	0	0	2	0	3	0	3	3	0	2	2	0	26	0	0
8.25	33	1089	0	6	2	0	0	3	0	2	0	3	4	0	2	2	0	47	0	0
10	47	2209	43	17	1	2	0	3	1	1	2	2	1	0	7	1	1	8	5	0
12.5	24	576	0	0	0	0	0	6	0	1	0	4	4	0	6	2	2	26	1	1
8	25	625	26	0	0	0	0	3	5	2	1	1	1	0	6	1	0	37	0	0
9.899999619	46	2116	0	0	0	0	0	4	0	3	0	1	5	0	4	2	0	45	0	0
30	40	1600	39	5	3	3	0	8	1	1	1	2	1	0	7	1	5	48	1	2
15	51	2601	51	17	1	0	0	2	5	1	1	3	4	0	5	1	0	17	0	0
8	28	784	0	6	4	0	0	5	0	3	0	3	2	0	3	2	0	48	0	0
38.90999985	52	2704	0	0	0	0	0	4	0	1	0	2	5	12	0	1	0	0	0	0
10	27	729	0	3	4	0	0	2	0	1	0	3	2	0	1	2	0	26	0	0
9.270000458	25	625	0	0	0	0	0	4	0	1	0	1	2	0	4	2	4	20	1	2
13.28999996	28	784	30	2	2	1	0	6	1	1	1	1	1	0	6	1	2	48	1	1
10.75	43	1849	36	15	1	0	0	4	5	2	1	2	2	0	4	1	0	26	0	0
15.60000038	53	2809	54	0	0	3	0	7	1	1	1	4	1	0	6	1	4	21	1	2
28.63999939	43	1849	0	0	0	0	0	6	0	1	0	3	2	0	6	2	2	12	1	1
13.10999966	23	529	0	0	0	0	0	6	0	1	0	2	2	0	6	1	2	46	5	0
14	57	3249	62	0	0	2	0	8	1	1	1	3	1	0	7	1	4	37	1	2
20.25	26	676	0	0	0	0	0	8	0	1	0	1	2	0	8	2	4	45	1	2
18	47	2209	49	0	0	1	0	4	1	1	1	3	1	0	4	1	1	17	5	0
17.62999916	30	900	32	3	3	0	0	4	0	1	1	2	1	0	7	1	4	8	1	2
7.699999809	60	3600	60	0	0	0	0	4	5	1	1	1	1	0	4	1	0	26	0	0
13.80000019	30	900	31	0	0	3	0	4	1	1	1	2	1	0	4	1	2	18	5	0
15	52	2704	0	0	0	0	0	1	0	1	0	2	4	0	2	2	0	48	0	0
8	31	961	0	6	3	0	0	3	0	2	0	1	4	0	4	2	0	8	0	0
10	45	2025	60	0	0	0	0	3	0	3	1	2	1	0	3	1	0	39	0	0
7.5	23	529	0	0	0	0	0	3	0	1	0	3	2	0	3	2	2	1	5	0
12	67	4489	0	1	1	0	0	4	0	1	0	2	4	0	3	2	0	37	0	0
24.35000038	45	2025	41	12	3	0	0	5	5	1	1	1	1	0	5	1	2	26	5	0
17.61000061	64	4096	63	0	0	0	0	2	0	1	1	2	1	0	6	1	1	5	5	0
12.61999989	30	900	0	0	0	0	0	4	0	1	0	3	2	0	4	1	4	39	1	2
10.5	51	2601	0	9	1	0	0	3	0	1	0	3	4	0	4	2	0	39	0	0
7.75	25	625	0	1	2	0	0	1	0	3	0	4	2	0	4	1	0	28	0	0
13.84000015	22	484	0	0	0	0	0	4	0	1	0	2	2	0	5	1	0	39	0	0
11	27	729	0	0	0	0	0	4	0	1	0	2	2	0	6	1	0	19	0	0
21.85000038	51	2601	50	0	0	0	0	6	0	2	1	2	1	0	3	1	0	53	0	0
27	30	900	27	1	3	0	0	4	0	1	1	1	1	0	4	1	2	31	5	0
10	46	2116	47	15	1	3	0	4	1	1	1	2	1	0	4	1	5	20	1	3
24	44	1936	34	5	3	3	0	5	1	1	1	2	1	0	4	1	2	49	5	0
14.73999977	43	1849	0	0	0	0	0	6	0	1	0	3	2	0	6	1	0	39	0	0
14	25	625	26	1	1	0	0	4	0	1	1	2	1	0	4	1	0	39	0	0
17	36	1296	0	13	1	0	0	4	0	1	0	3	2	0	4	2	2	48	1	1
10	38	1444	0	8	2	0	0	8	0	1	0	2	5	0	8	2	2	5	1	1
10	50	2500	0	0	0	0	0	4	0	1	0	3	4	0	4	2	2	45	5	0
19	39	1521	35	9	4	0	0	3	0	3	3	3	4	0	3	1	0	54	0	0
8.75	20	400	0	2	2	0	0	2	0	1	0	1	2	0	2	2	0	28	0	0
15	25	625	0	2	2	0	0	4	0	1	0	2	2	12	0	2	0	21	0	0
18	33	1089	31	3	2	0	0	4	5	1	1	2	1	0	6	1	2	6	1	1
12.80000019	34	1156	0	0	0	0	0	7	0	1	0	2	4	0	4	2	0	45	0	0
13	27	729	0	7	1	0	0	5	0	1	0	2	5	10	0	2	1	6	5	0
14.68000031	53	2809	0	0	0	0	0	4	0	1	0	3	2	0	4	1	0	6	0	0
25	50	2500	50	0	0	0	0	5	0	3	3	1	1	0	5	1	0	48	0	0
25.62000084	53	2809	49	0	0	0	0	4	0	2	1	3	1	0	4	1	0	48	0	0
14.96000004	39	1521	0	0	0	0	0	4	0	2	0	2	2	0	4	1	1	48	5	0
10.43000031	33	1089	0	4	3	0	0	4	0	3	0	3	4	0	4	2	0	49	0	0
16	56	3136	51	0	0	0	0	6	0	1	1	2	1	0	4	1	0	36	0	0
15	42	1764	0	1	2	0	0	4	0	1	0	1	2	0	6	2	5	24	5	0
14.75	44	1936	0	13	1	0	0	4	0	1	0	1	4	0	4	2	2	39	5	0
12	28	784	0	0	0	0	0	8	0	1	0	3	2	0	7	1	4	27	1	2
10	22	484	0	0	0	0	0	0	0	1	0	3	2	0	0	2	0	13	0	0
8	25	625	0	3	1	0	0	4	0	1	0	2	2	0	4	2	0	6	0	0
17	41	1681	45	6	1	0	0	5	0	1	1	2	2	0	4	1	0	18	0	0
12	27	729	30	2	1	0	0	0	0	1	1	3	1	0	0	1	0	48	0	0
16	42	1764	39	7	4	0	0	4	0	3	1	2	1	0	4	1	0	53	0	0
35.27000046	41	1681	0	11	1	0	0	0	0	1	0	3	2	0	0	2	4	6	1	1
19.87000084	38	1444	30	7	2	0	0	4	5	1	1	5	1	0	7	1	0	6	0	0
26	32	1024	28	2	2	0	0	4	5	1	1	1	1	0	4	1	1	36	5	0
7.349999905	20	400	0	0	0	0	0	4	0	1	0	2	2	0	3	1	0	45	0	0
8.5	44	1936	0	0	0	0	0	4	0	2	0	3	2	0	3	1	0	48	0	0
13.5	28	784	22	7	1	0	0	4	0	1	2	3	4	0	4	1	0	48	0	0
14	49	2401	0	15	1	0	0	7	0	1	0	2	5	0	4	2	1	28	5	0
15.75	33	1089	35	1	3	2	0	3	1	1	1	1	1	0	7	1	0	42	0	0
15	56	3136	56	0	0	0	0	3	0	1	1	3	4	0	4	1	0	51	0	0
12.25	55	3025	0	0	0	0	0	4	0	1	0	2	3	0	4	2	0	26	0	0
20	38	1444	27	0	0	2	0	4	1	1	1	3	1	0	7	1	2	39	1	1
30	67	4489	65	0	0	0	0	4	0	3	1	2	1	0	4	1	0	45	0	0
9.5	20	400	20	0	0	0	0	4	5	3	1	2	2	0	4	1	0	55	0	0
33	33	1089	32	2	3	1	0	4	1	1	1	1	1	0	3	1	2	18	1	1
7.829999924	59	3481	0	0	0	0	0	4	0	1	0	2	4	0	4	2	0	42	0	0
9	24	576	29	1	1	0	0	7	5	2	1	1	2	0	4	1	0	45	0	0
13.55000019	32	1024	0	0	0	0	0	4	0	1	0	3	2	0	5	1	4	42	5	0
7.5	31	961	0	0	0	0	0	3	0	1	0	1	2	0	3	2	2	26	5	0
9.5	25	625	25	1	1	0	0	2	0	1	2	1	2	0	7	1	0	39	0	0
10	32	1024	24	1	1	0	0	6	0	1	1	3	1	0	4	1	1	28	5	0
7.5	32	1024	30	0	0	2	15	0	1	1	1	3	2	11	0	1	4	36	1	2
18.5	37	1369	25	1	2	0	0	6	0	1	1	2	1	0	3	1	1	26	5	0
16	57	3249	55	0	0	0	0	0	0	1	1	3	1	0	0	1	2	45	5	0
9.899999619	50	2500	0	0	0	0	0	2	0	1	0	3	4	0	3	2	0	45	0	0
17	42	1764	40	15	1	0	0	3	0	3	2	1	1	0	4	1	0	54	0	0
21	53	2809	0	0	0	0	0	3	0	1	0	1	4	0	4	2	0	18	0	0
21	66	4356	0	0	0	0	0	4	0	2	0	2	4	0	4	2	4	24	1	2
18	26	676	28	0	0	0	0	7	5	1	1	3	2	0	6	1	0	41	0	0
32.70999908	59	3481	56	0	0	2	0	4	1	1	1	2	1	0	4	1	5	48	1	2
15	25	625	23	1	2	0	0	6	0	1	1	2	2	0	4	1	2	39	5	0
30.38999939	43	1849	45	14	1	0	0	7	0	1	1	3	1	0	4	1	2	36	5	0
14	48	2304	53	0	0	0	0	0	5	1	1	2	4	0	0	1	3	48	1	1
16.52000046	55	3025	0	0	0	0	0	2	0	1	0	3	4	0	2	2	0	51	0	0
20	67	4489	63	13	1	3	0	2	1	1	1	1	1	0	2	1	2	37	1	1
34	29	841	25	1	2	0	0	5	0	1	1	2	1	0	4	1	0	6	0	0
23	36	1296	36	5	3	0	0	0	5	1	1	2	1	0	0	1	3	27	5	0
8.529999733	26	676	24	5	2	0	12	4	5	1	1	2	1	12	7	1	0	48	0	0
33.31999969	56	3136	55	0	0	0	0	2	0	1	1	3	1	0	4	1	2	26	1	1
10.44999981	61	3721	0	0	0	0	0	3	0	1	0	2	4	0	5	2	0	26	0	0
11	30	900	0	2	2	0	0	2	0	1	0	1	2	0	3	2	1	48	5	0
15.5	48	2304	46	13	1	0	0	4	0	1	1	3	1	0	4	1	0	39	0	0
10.5	58	3364	0	0	0	0	0	4	0	1	0	3	5	0	4	2	0	28	0	0
21.03000069	50	2500	45	0	0	1	0	3	1	1	1	1	1	0	3	1	0	23	0	0
17.75	33	1089	0	3	1	0	0	5	0	2	0	2	5	0	6	1	2	36	5	0
10	29	841	20	1	1	0	0	7	0	3	1	2	1	0	4	1	0	47	0	0
13.5	26	676	25	4	2	0	0	4	0	1	1	1	1	0	4	1	0	6	0	0
14.60000038	56	3136	0	0	0	0	0	2	0	1	0	3	4	0	3	1	4	41	1	1
7.75	29	841	0	0	0	0	0	3	0	2	0	1	1	0	5	1	0	26	0	0
42.15000153	60	3600	0	0	0	0	0	7	0	1	0	2	4	0	8	1	5	13	1	3
21	43	1849	41	12	2	0	0	5	0	1	1	2	1	0	4	1	0	26	0	0
18.75	60	3600	0	0	0	0	0	5	0	2	0	2	5	0	3	2	3	26	5	0
40	26	676	0	8	2	0	0	6	0	1	0	2	2	0	6	2	3	17	5	0
2.650000095	51	2601	0	0	0	0	0	6	0	3	0	3	4	0	5	2	2	26	5	0
10.61999989	22	484	0	2	1	0	0	4	0	1	0	1	2	0	6	2	4	47	1	2
24	45	2025	45	0	0	0	0	4	5	1	1	3	1	0	3	1	2	26	5	0
8	21	441	0	0	0	0	0	7	0	1	0	3	2	0	5	2	0	40	0	0
17.19000053	48	2304	46	0	0	0	0	7	5	1	1	2	1	0	6	1	2	39	1	1
36.11000061	47	2209	0	14	1	0	0	4	0	1	0	3	3	0	6	2	4	39	1	2
1	49	2401	47	0	0	0	12	7	5	1	1	2	1	0	5	1	1	6	5	0
16.18000031	27	729	0	0	0	0	0	6	0	1	0	3	2	0	6	2	2	47	5	0
21.75	57	3249	55	0	0	0	0	4	0	1	1	1	1	0	2	1	0	49	0	0
13	48	2304	52	0	0	0	0	2	5	1	1	2	1	0	3	1	0	21	0	0
26.25	48	2304	0	0	0	0	0	2	0	1	0	2	2	0	3	2	0	39	0	0
8	25	625	0	0	0	0	0	4	0	1	0	2	2	0	4	1	0	29	0	0
35.90999985	56	3136	0	0	0	0	0	4	0	1	0	2	2	0	3	2	5	27	1	3
12.39000034	30	900	0	0	0	0	0	8	0	1	0	3	2	0	7	1	4	46	1	2
13.25	53	2809	57	0	0	1	0	0	1	1	1	2	1	0	0	1	2	39	5	0
21.29000092	26	676	0	0	0	0	0	6	0	1	0	2	2	0	7	2	4	53	1	2
13	67	4489	0	0	0	0	0	1	0	1	0	1	3	0	2	1	0	45	0	0
9.399999619	20	400	0	0	0	0	0	3	0	1	0	3	2	0	6	2	0	29	0	0
18	49	2401	0	0	0	0	0	8	0	1	0	3	4	12	4	1	1	53	5	0
7.25	27	729	23	1	1	0	0	6	0	1	1	3	1	0	4	1	0	55	0	0
25	39	1521	0	10	1	0	0	2	0	1	0	2	4	0	4	2	2	37	5	0
22	41	1681	0	6	1	0	0	4	0	1	0	2	4	0	4	2	4	17	1	2
7.519999981	40	1600	42	10	2	0	0	4	0	2	1	1	1	0	6	1	0	39	0	0
8	28	784	0	0	0	0	0	6	0	1	0	2	2	0	2	1	0	8	0	0
9.5	29	841	0	3	1	0	0	4	0	1	0	3	2	0	4	2	2	37	1	1
22.5	40	1600	0	8	4	0	0	6	0	1	0	2	4	0	6	2	3	21	5	0
45	45	2025	45	0	0	2	0	4	1	1	1	2	1	0	4	1	2	24	5	0
14.80000019	41	1681	0	14	1	0	0	2	0	1	0	3	2	0	6	2	2	29	1	1
9	60	3600	0	0	0	0	0	6	0	1	0	1	4	0	4	2	5	25	1	2
10.47000027	63	3969	64	0	0	0	0	4	0	1	0	3	4	0	4	1	5	6	1	2
25.5	24	576	25	1	2	2	0	3	1	1	1	3	1	0	4	1	4	6	1	2
14.94999981	35	1225	0	2	3	0	0	4	0	2	0	1	5	0	4	1	0	24	0	0
24	44	1936	53	0	0	0	0	7	0	1	1	3	1	0	4	1	3	48	1	1
19	36	1296	35	6	1	0	7	0	5	1	1	2	1	8	0	1	3	6	5	0
14	85	7225	0	0	0	0	0	2	0	1	0	2	4	0	2	1	0	8	0	0
20.12999916	27	729	0	0	0	0	0	5	0	1	0	3	2	0	6	2	0	19	0	0
20	43	1849	37	0	0	1	0	6	1	1	1	2	1	0	4	1	4	40	1	2
17.75	28	784	0	0	0	0	0	7	0	1	0	3	2	0	4	2	3	26	5	0
10	31	961	31	1	1	0	0	4	0	1	1	3	4	0	4	1	0	48	0	0
13.5	27	729	25	2	3	0	0	4	5	3	1	3	1	0	4	1	0	29	0	0
15	49	2401	0	0	0	0	0	7	0	1	0	2	4	0	5	2	1	40	5	0
15	53	2809	0	0	0	0	0	4	0	1	0	1	4	0	4	2	1	12	5	0
10	20	400	0	0	0	0	0	8	0	1	0	3	2	0	7	2	1	45	5	0
10.82999992	47	2209	51	17	1	1	0	4	1	1	1	2	1	0	4	1	2	18	5	0
25.62999916	33	1089	29	0	0	3	0	4	1	1	1	2	1	0	4	1	4	29	1	2
17	54	2916	0	0	0	0	0	2	0	1	0	2	2	0	4	1	0	19	0	0
26	54	2916	49	8	2	0	0	2	5	1	1	2	1	0	4	1	0	12	0	0
10	26	676	0	0	0	0	0	7	0	1	0	2	2	0	6	1	3	28	1	1
12.75	24	576	24	0	0	1	0	8	1	1	1	1	2	0	6	1	1	17	5	0
26	34	1156	27	0	0	2	0	6	1	1	1	1	1	0	6	1	4	32	1	2
43.5	41	1681	0	0	0	0	0	3	0	1	0	3	2	0	4	2	4	36	1	2
8	28	784	28	0	0	2	0	6	1	1	1	2	2	0	8	1	1	39	5	0
8	48	2304	42	15	1	0	0	4	0	1	1	1	1	0	4	1	0	28	0	0
35.40000153	61	3721	58	0	0	3	0	4	1	1	1	2	1	0	4	1	2	29	5	0
10.10000038	28	784	0	0	0	0	0	6	0	1	0	3	2	0	6	1	2	21	5	0
30	53	2809	52	0	0	0	0	4	0	1	1	1	1	0	4	1	0	42	0	0
19.85000038	67	4489	64	0	0	0	0	2	0	1	1	1	1	0	4	1	0	19	0	0
30	57	3249	53	0	0	3	0	4	1	1	1	1	1	0	6	1	5	19	1	3
20	49	2401	43	2	8	5	0	4	1	1	1	3	1	0	2	1	5	53	1	4
9.460000038	28	784	0	2	2	0	0	6	0	1	0	1	2	0	4	2	2	28	5	0
21.79000092	53	2809	53	0	0	2	0	3	1	1	1	2	1	0	4	1	2	39	1	1
10	26	676	29	8	1	0	0	4	0	1	1	1	1	0	4	1	0	28	0	0
10	30	900	29	1	2	2	0	6	1	2	1	2	1	0	4	1	0	20	0	0
14.36999989	46	2116	40	9	2	0	0	3	0	3	1	3	1	0	2	1	0	1	0	0
10	48	2304	42	17	1	0	0	6	5	1	1	2	1	0	4	1	1	48	5	0
17.5	53	2809	55	0	0	0	0	3	5	1	2	3	1	0	4	1	0	38	0	0
18.75	29	841	26	2	2	0	0	4	0	1	2	1	1	0	4	1	0	47	0	0
9.25	29	841	0	0	0	0	0	3	0	1	0	3	2	0	4	1	5	6	5	0
7.75	48	2304	0	0	0	0	0	2	0	1	0	3	4	0	2	2	1	47	5	0
10.75	32	1024	0	0	0	0	0	4	0	1	0	2	2	0	4	1	0	6	0	0
8.5	28	784	27	1	4	1	0	4	1	1	1	2	2	0	4	1	0	21	0	0
7.400000095	21	441	0	0	0	0	0	4	0	1	0	3	2	0	4	2	0	26	0	0
7.25	36	1296	0	11	1	0	0	3	0	1	0	2	2	0	3	2	0	48	0	0
18.45000076	58	3364	56	0	0	0	6	0	0	0	0	2	1	1	0	1	0	6	0	0
9	64	4096	0	0	0	0	0	2	0	1	0	3	4	0	4	2	0	13	0	0
18.59000015	47	2209	0	0	0	0	0	6	0	1	0	1	4	0	4	2	2	6	5	0
10.39999962	57	3249	53	0	0	0	0	7	0	3	3	2	1	0	4	1	0	45	0	0
20	48	2304	0	12	2	0	0	4	0	1	0	2	4	0	4	2	3	18	5	0
25.72999954	59	3481	60	0	0	1	0	4	1	1	1	2	1	0	4	1	2	56	5	0
10.81999969	24	576	0	5	1	0	0	5	0	1	0	3	2	0	3	2	5	1	1	3
21	61	3721	0	17	1	0	0	2	0	2	0	2	4	0	4	2	2	17	5	0
8.25	30	900	0	8	1	0	0	3	0	1	0	3	5	0	3	2	2	32	5	0
28.5	44	1936	0	0	0	0	0	4	0	1	0	2	2	0	4	2	2	6	1	1
11.75	58	3364	0	0	0	0	0	1	0	2	0	4	4	0	3	2	0	17	0	0
12.5	29	841	0	0	0	0	0	7	0	1	0	3	2	0	6	1	4	53	1	2
7.25	23	529	0	2	2	0	0	4	0	1	0	3	2	0	4	2	0	34	0	0
10	35	1225	30	5	3	1	0	0	1	1	1	2	1	0	0	1	0	23	0	0
27.39999962	56	3136	62	0	0	0	0	7	0	1	1	2	1	0	5	1	4	39	5	0
55	49	2401	0	0	0	0	9	0	0	1	0	2	2	12	0	2	4	6	1	2
28.11000061	46	2116	0	17	1	0	0	2	0	1	0	2	4	0	4	1	0	41	0	0
15	66	4356	53	0	0	2	0	7	1	1	1	2	1	0	7	1	2	48	5	0
10	41	1681	0	0	0	0	0	4	0	2	0	4	4	0	4	2	2	39	1	1
9	21	441	0	2	1	0	0	4	0	1	0	3	2	0	7	2	1	26	5	0
13.89999962	46	2116	0	11	1	0	0	4	0	1	0	3	4	0	3	2	3	13	5	0
12.71000004	36	1296	35	6	4	0	0	7	0	1	3	2	1	0	4	1	0	26	0	0
10	33	1089	28	7	3	0	0	4	0	1	1	2	1	0	6	1	0	42	0	0
19.65999985	64	4096	0	0	0	0	0	4	0	1	0	2	4	0	4	2	2	26	1	1
17.5	29	841	26	7	1	1	0	6	1	1	2	2	2	0	6	1	3	19	1	1
9.75	65	4225	53	0	0	0	0	1	0	1	1	3	1	0	2	1	3	48	5	0
11.5	29	841	0	3	3	0	0	4	0	2	0	3	2	0	6	2	2	37	5	0
17	50	2500	56	10	1	0	0	0	0	1	3	2	1	0	0	1	2	6	5	0
10	18	324	0	0	0	0	0	3	0	1	0	3	2	0	7	2	0	5	0	0
10.75	54	2916	0	0	0	0	0	4	0	1	0	3	4	0	4	2	0	6	0	0
7.25	57	3249	0	0	0	0	0	1	0	1	0	3	2	0	3	2	1	28	5	0
14	62	3844	0	0	0	0	0	4	0	1	0	2	4	0	4	1	5	8	1	3
1	57	3249	0	0	0	0	0	3	0	2	0	4	4	0	3	1	2	48	5	0
7.75	20	400	0	1	1	0	0	4	0	1	0	1	2	0	4	2	2	29	5	0
21	58	3364	49	16	1	1	0	2	1	1	1	2	1	0	4	1	0	42	0	0
16	44	1936	43	11	2	2	0	2	1	1	1	2	1	0	2	1	2	45	5	0
35	46	2116	44	0	0	0	6	0	0	1	0	1	1	6	0	1	4	36	1	2
2.75	34	1156	0	1	3	0	0	4	0	1	0	3	2	0	6	2	3	45	1	1
14.94999981	43	1849	0	0	0	0	0	4	0	3	0	2	5	0	3	2	0	36	0	0
13	37	1369	34	12	2	3	0	5	1	1	1	2	1	0	4	1	0	29	0	0
12.53999996	23	529	0	5	1	0	0	4	0	1	0	1	2	0	4	2	0	36	0	0
13.5	35	1225	0	5	1	0	0	4	0	2	0	3	5	0	6	1	1	36	5	0
5	59	3481	0	0	0	0	0	2	0	3	0	3	3	0	2	2	0	28	0	0
32.88999939	58	3364	0	6	1	0	18	0	0	1	0	3	4	20	0	1	5	53	1	6
11.81999969	32	1024	0	5	3	0	0	0	0	1	0	4	2	0	7	1	0	13	0	0
8.5	34	1156	0	0	0	0	0	4	0	1	0	4	2	0	6	1	0	21	0	0
9.5	52	2704	0	15	1	0	0	5	0	1	0	3	4	0	5	2	2	48	5	0
24.75	50	2500	44	0	0	0	3	0	0	0	0	3	1	3	0	1	0	6	0	0
11.44999981	24	576	0	14	1	0	0	7	0	2	0	3	2	0	3	2	0	24	0	0
22.64999962	51	2601	48	0	0	0	0	3	0	3	1	2	1	0	2	1	0	39	0	0
10.75	28	784	0	4	1	0	13	0	0	1	0	4	5	9	4	2	0	32	0	0
8.5	30	900	0	0	0	0	0	6	0	1	0	5	2	0	7	1	2	48	5	0
9	26	676	28	1	2	0	0	4	5	2	1	3	2	0	6	1	0	29	0	0
7.550000191	38	1444	0	11	1	0	0	4	0	3	0	1	2	0	4	2	0	1	0	0
14	51	2601	0	0	0	0	0	2	0	1	0	2	3	0	3	2	0	48	0	0
15.64999962	52	2704	0	0	0	0	6	0	0	2	0	2	4	6	0	2	0	32	0	0
16.29999924	39	1521	44	4	4	0	0	4	0	1	1	2	1	0	4	1	0	19	0	0
25.31999969	52	2704	50	0	0	0	0	2	5	1	1	1	1	0	5	1	0	45	0	0
20	27	729	0	0	0	0	0	7	0	1	0	3	2	0	2	1	1	34	5	0
12.75	22	484	23	0	0	0	0	7	5	1	1	3	1	0	7	1	0	49	0	0
41	52	2704	50	1	1	0	16	0	5	1	1	2	1	10	4	1	1	41	5	0
10	58	3364	0	0	0	0	0	2	0	1	0	3	3	0	3	2	0	28	0	0
17.39999962	34	1156	40	0	0	0	0	0	0	1	0	2	5	0	0	1	0	48	0	0
11	56	3136	0	0	0	0	0	2	0	1	0	2	3	0	3	2	0	45	0	0
13.44999981	70	4900	0	0	0	0	0	7	0	1	0	3	4	0	6	2	2	6	1	1
11.44999981	35	1225	0	2	4	0	0	4	0	1	0	4	2	0	2	2	2	26	5	0
11.10000038	70	4900	69	0	0	0	0	4	0	1	1	3	1	0	4	1	0	39	0	0
8.5	38	1444	0	16	1	0	0	5	0	1	0	1	2	0	5	2	0	48	0	0
2.329999924	21	441	0	0	0	0	0	7	0	1	0	3	2	0	6	2	2	55	5	0
21.85000038	37	1369	36	4	3	0	0	6	5	1	1	2	1	0	6	1	0	53	0	0
15	34	1156	32	2	2	0	0	6	0	1	0	2	1	0	2	1	0	48	0	0
7.5	63	3969	0	0	0	0	0	2	0	1	0	1	2	0	3	2	4	29	1	2
10	24	576	0	0	0	0	0	6	0	1	0	2	2	0	4	1	1	50	5	0
9.75	39	1521	0	13	1	0	0	4	0	1	0	3	2	0	4	1	0	26	0	0
17	29	841	28	1	1	2	0	7	1	1	1	1	1	0	7	1	5	31	1	3
7.400000095	26	676	0	3	1	0	0	4	0	1	0	2	2	0	7	2	0	39	0	0
14.94999981	59	3481	53	0	0	0	0	4	0	1	3	2	1	0	4	1	0	48	0	0
15	30	900	28	2	3	0	0	4	0	2	1	2	5	0	4	1	0	8	0	0
15	31	961	0	0	0	0	0	8	0	1	0	2	2	0	7	2	4	6	1	2
7.360000134	44	1936	0	0	0	0	0	4	0	2	0	3	5	0	4	1	0	8	0	0
8	51	2601	0	14	1	0	0	3	0	1	0	2	3	0	3	2	0	21	0	0
13.25	36	1296	31	1	1	0	0	8	0	1	1	2	2	0	7	1	2	4	5	0
10	31	961	0	8	2	0	0	7	0	3	0	3	2	0	6	1	0	6	0	0
10.5	61	3721	0	0	0	0	0	6	0	1	0	3	2	0	6	2	4	41	1	2
25	70	4900	67	0	0	0	0	4	0	1	1	2	1	0	4	1	4	29	1	2
13	23	529	0	0	0	0	0	4	0	1	0	2	2	0	6	2	3	25	5	0
9	78	6084	67	0	0	0	0	4	0	1	3	3	1	0	8	1	1	4	5	0
22.5	50	2500	49	0	0	0	0	8	0	1	1	1	1	0	4	1	2	48	1	1
5.269999981	26	676	0	2	1	0	0	7	0	1	0	1	2	0	7	2	4	12	1	2
10.5	59	3481	52	0	0	0	3	0	0	0	0	1	1	6	0	1	0	6	0	0
35	31	961	31	1	1	3	0	4	1	1	1	1	1	0	6	1	4	42	1	2
22	49	2401	0	13	1	0	0	1	0	1	0	1	5	0	1	2	0	24	0	0
26.5	39	1521	43	14	2	0	0	4	0	1	1	2	1	0	6	1	1	39	5	0
18.39999962	40	1600	0	0	0	0	0	4	0	2	0	3	2	0	4	2	0	24	0	0
15	49	2401	0	14	1	0	0	4	0	1	0	2	4	0	4	2	0	9	0	0
22.35000038	45	2025	45	10	3	0	0	4	0	1	1	2	1	0	4	1	0	53	0	0
11.27000046	50	2500	0	5	2	0	0	4	0	2	0	2	4	0	4	2	0	30	0	0
15	66	4356	64	0	0	0	0	3	0	1	1	1	1	0	4	1	0	42	0	0
17	53	2809	50	0	0	0	6	0	0	0	0	2	1	6	0	1	0	6	0	0
9.479999542	28	784	0	1	2	0	0	5	0	3	0	2	2	0	6	2	0	26	0	0
35	35	1225	32	3	1	2	0	7	1	1	1	2	1	0	7	1	4	19	1	2
23.21999931	31	961	34	0	0	6	0	4	1	1	1	2	1	0	4	1	3	53	1	1
18.70000076	27	729	0	5	2	0	0	3	0	2	0	1	4	0	5	2	0	53	0	0
16	32	1024	33	4	2	0	0	4	5	2	1	3	1	0	6	1	0	29	0	0
16.29999924	23	529	0	4	1	0	0	6	0	1	0	3	2	0	6	2	1	6	5	0
24	52	2704	0	0	0	0	0	4	0	1	0	1	2	0	4	2	0	12	0	0
30	32	1024	25	1	1	0	0	4	5	1	1	2	1	0	7	1	4	48	1	2
25.04000092	32	1024	29	3	3	0	0	4	0	1	1	1	1	0	4	1	3	31	5	0
19.62000084	69	4761	67	0	0	0	0	3	0	1	1	3	1	0	4	1	0	53	0	0
9.68999958	57	3249	0	0	0	0	0	2	0	2	0	3	4	0	2	2	0	28	0	0
25	28	784	28	2	2	0	0	7	0	1	1	1	1	0	7	1	0	49	0	0
14.02000046	33	1089	26	3	2	0	0	4	5	1	1	1	1	0	4	1	1	31	5	0
9	37	1369	0	9	2	0	0	4	0	1	0	1	4	0	4	2	1	20	5	0
19.47999954	37	1369	33	2	2	0	0	4	5	2	1	3	1	12	0	1	0	6	0	0
10	24	576	23	1	1	0	0	7	5	1	1	2	1	0	6	1	0	45	0	0
10.35000038	28	784	0	1	3	0	5	0	0	1	0	3	2	6	0	2	3	12	5	0
8	47	2209	46	0	0	0	3	0	0	0	0	1	1	0	0	1	0	6	0	0
13.5	51	2601	49	0	0	0	0	2	5	1	1	3	1	0	4	1	2	45	5	0
12	26	676	0	0	0	0	0	7	0	1	0	3	2	0	8	2	4	8	1	2
15	49	2401	38	15	2	1	0	4	1	2	1	1	4	0	4	1	0	26	0	0
4.650000095	27	729	26	0	0	2	0	4	1	1	1	2	1	0	4	1	3	8	1	1
20	52	2704	0	0	0	0	0	2	0	3	0	4	4	0	3	2	0	26	0	0
