WAGE	AGE	AGE2	AGEW	AGEY	CHILDREN	DEGREEW	FEDUCA	FEDUCH	GRADCOLLW	GRADHS	GRADHSW	HAPPINESS	MARRIED	MEDUCA	MEDUCH	SEX	YEARSCOLL	STATE	GRADCOLL	DEGREE
10.53999996	42	1764	37	5	3	0	0	4	0	1	1	1	1	0	8	1	0	37	0	0
20.54999924	22	484	0	0	0	0	0	6	0	1	0	3	2	0	6	1	1	21	5	0
13.39999962	34	1156	32	0	0	0	0	4	0	3	2	1	1	0	4	1	0	39	0	0
23.5	51	2601	44	13	2	1	0	7	1	1	1	3	1	0	7	1	0	12	0	0
7.5	22	484	0	0	0	0	0	4	0	1	0	2	2	0	4	1	1	45	5	0
21	52	2704	55	2	1	0	0	4	0	1	1	1	2	0	4	1	0	36	0	0
10.19999981	26	676	25	0	0	0	0	2	5	1	2	4	1	0	3	1	0	17	0	0
10	50	2500	0	0	0	0	0	3	0	3	0	2	2	0	3	2	0	24	0	0
7.300000191	76	5776	0	0	0	0	0	7	0	1	0	3	4	0	6	2	4	39	1	2
33.65000153	49	2401	0	0	0	0	0	6	0	1	0	2	4	0	4	1	0	26	0	0
12.26000023	25	625	0	0	0	0	0	7	0	1	0	2	2	0	6	2	5	12	1	2
19.52000046	34	1156	39	4	3	0	16	0	0	1	1	3	1	0	6	1	0	8	0	0
8.100000381	33	1089	0	9	1	0	0	5	0	1	0	2	2	0	6	2	1	51	5	0
40	53	2809	50	0	0	2	0	7	1	1	1	2	1	0	7	1	5	6	1	3
10.94999981	47	2209	0	0	0	0	0	2	0	1	0	3	2	0	6	2	0	28	0	0
10.17000008	36	1296	0	0	0	0	0	4	0	3	0	3	4	0	3	2	0	39	0	0
18	62	3844	58	0	0	2	0	4	1	1	1	3	1	0	4	1	2	18	5	0
12.97999954	32	1024	0	8	2	0	0	6	0	1	0	2	2	0	6	2	0	48	0	0
19.56999969	37	1369	0	13	2	0	0	8	0	1	0	2	4	0	3	1	0	45	0	0
16	57	3249	59	0	0	0	0	2	0	1	1	2	1	0	6	1	0	36	0	0
11	37	1369	32	2	1	0	0	7	5	1	1	2	1	0	7	1	2	48	1	1
15	26	676	0	0	0	0	0	3	0	1	0	3	2	0	7	1	4	11	5	0
13	30	900	28	2	2	0	0	4	0	1	1	1	1	0	4	1	1	29	5	0
8.75	41	1681	0	8	2	0	0	6	0	3	0	1	2	0	4	2	0	17	0	0
21.18000031	70	4900	0	0	0	0	0	2	0	1	0	2	3	0	4	2	3	46	5	0
13	31	961	27	1	2	0	0	3	0	1	1	2	1	0	3	1	2	37	1	1
18	28	784	24	0	0	0	0	4	5	1	1	2	2	0	4	1	3	17	5	0
17.81999969	55	3025	0	0	0	0	0	3	0	1	0	2	4	0	4	2	2	8	1	1
17	26	676	25	3	2	0	0	4	0	2	2	1	1	0	8	1	0	16	0	0
7.5	49	2401	0	0	0	0	0	1	0	3	0	4	4	0	2	2	0	28	0	0
12.80000019	27	729	22	0	0	0	0	6	0	1	1	3	1	0	6	1	2	26	5	0
14	32	1024	44	7	1	0	0	5	5	1	1	2	1	0	2	1	0	5	0	0
21	47	2209	43	0	0	0	0	4	0	1	2	2	1	0	4	1	2	19	1	1
