"Title","LFS: ILO unemployment rate: England: Female: %: SA"
"CDID","YCPL"
"Source dataset ID","LMS"
"PreUnit",""
"Unit","%"
"Release date","20-03-2025"
"Next release","15 April 2025"
"Important notes",
"1992","7.6"
"1993","7.9"
"1994","7.3"
"1995","6.8"
"1996","6.4"
"1997","5.8"
"1998","5.3"
"1999","5.1"
"2000","4.7"
"2001","4.4"
"2002","4.4"
"2003","4.4"
"2004","4.3"
"2005","4.4"
"2006","5.2"
"2007","5.1"
"2008","5.3"
"2009","6.6"
"2010","7.0"
"2011","7.6"
"2012","7.5"
"2013","7.2"
"2014","6.0"
"2015","5.2"
"2016","4.8"
"2017","4.4"
"2018","4.2"
"2019","3.7"
"2020","4.4"
"2021","4.4"
"2022","3.8"
"2023","3.8"
"2024","4.2"
"1992 Q2","7.6"
"1992 Q3","7.5"
"1992 Q4","7.8"
"1993 Q1","8.0"
"1993 Q2","8.0"
"1993 Q3","7.8"
"1993 Q4","7.9"
"1994 Q1","7.7"
"1994 Q2","7.3"
"1994 Q3","7.3"
"1994 Q4","7.0"
"1995 Q1","7.0"
"1995 Q2","6.8"
"1995 Q3","6.9"
"1995 Q4","6.6"
"1996 Q1","6.3"
"1996 Q2","6.5"
"1996 Q3","6.4"
"1996 Q4","6.4"
"1997 Q1","6.1"
"1997 Q2","6.0"
"1997 Q3","5.8"
"1997 Q4","5.5"
"1998 Q1","5.4"
"1998 Q2","5.5"
"1998 Q3","5.1"
"1998 Q4","5.2"
"1999 Q1","5.2"
"1999 Q2","5.1"
"1999 Q3","5.1"
"1999 Q4","5.0"
"2000 Q1","5.1"
"2000 Q2","4.7"
"2000 Q3","4.6"
"2000 Q4","4.5"
"2001 Q1","4.4"
"2001 Q2","4.3"
"2001 Q3","4.3"
"2001 Q4","4.4"
"2002 Q1","4.4"
"2002 Q2","4.4"
"2002 Q3","4.5"
"2002 Q4","4.5"
"2003 Q1","4.4"
"2003 Q2","4.4"
"2003 Q3","4.5"
"2003 Q4","4.3"
"2004 Q1","4.3"
"2004 Q2","4.3"
"2004 Q3","4.3"
"2004 Q4","4.3"
"2005 Q1","4.2"
"2005 Q2","4.4"
"2005 Q3","4.3"
"2005 Q4","4.7"
"2006 Q1","4.9"
"2006 Q2","5.2"
"2006 Q3","5.2"
"2006 Q4","5.3"
"2007 Q1","5.2"
"2007 Q2","5.1"
"2007 Q3","5.1"
"2007 Q4","4.9"
"2008 Q1","4.9"
"2008 Q2","5.0"
"2008 Q3","5.5"
"2008 Q4","5.8"
"2009 Q1","6.4"
"2009 Q2","6.8"
"2009 Q3","6.6"
"2009 Q4","6.7"
"2010 Q1","6.8"
"2010 Q2","6.9"
"2010 Q3","7.2"
"2010 Q4","7.2"
"2011 Q1","7.2"
"2011 Q2","7.5"
"2011 Q3","7.7"
"2011 Q4","7.8"
"2012 Q1","7.6"
"2012 Q2","7.6"
"2012 Q3","7.4"
"2012 Q4","7.5"
"2013 Q1","7.5"
"2013 Q2","7.3"
"2013 Q3","7.2"
"2013 Q4","6.9"
"2014 Q1","6.6"
"2014 Q2","6.2"
"2014 Q3","5.8"
"2014 Q4","5.5"
"2015 Q1","5.4"
"2015 Q2","5.5"
"2015 Q3","5.1"
"2015 Q4","5.0"
"2016 Q1","5.0"
"2016 Q2","4.9"
"2016 Q3","4.8"
"2016 Q4","4.6"
"2017 Q1","4.5"
"2017 Q2","4.4"
"2017 Q3","4.3"
"2017 Q4","4.4"
"2018 Q1","4.3"
"2018 Q2","4.2"
"2018 Q3","4.1"
"2018 Q4","4.0"
"2019 Q1","3.8"
"2019 Q2","3.8"
"2019 Q3","3.7"
"2019 Q4","3.6"
"2020 Q1","3.9"
"2020 Q2","4.0"
"2020 Q3","4.6"
"2020 Q4","5.1"
"2021 Q1","4.8"
"2021 Q2","4.6"
"2021 Q3","4.3"
"2021 Q4","4.1"
"2022 Q1","3.8"
"2022 Q2","3.8"
"2022 Q3","3.8"
"2022 Q4","4.0"
"2023 Q1","3.9"
"2023 Q2","4.0"
"2023 Q3","3.7"
"2023 Q4","3.6"
"2024 Q1","4.4"
"2024 Q2","4.1"
"2024 Q3","4.2"
"2024 Q4","4.3"
"1992 APR","7.6"
"1992 MAY","7.6"
"1992 JUN","7.7"
"1992 JUL","7.6"
"1992 AUG","7.5"
"1992 SEP","7.6"
"1992 OCT","7.8"
"1992 NOV","7.8"
"1992 DEC","8.0"
"1993 JAN","8.2"
"1993 FEB","8.0"
"1993 MAR","8.0"
"1993 APR","7.9"
"1993 MAY","8.0"
"1993 JUN","8.0"
"1993 JUL","8.0"
"1993 AUG","7.8"
"1993 SEP","8.0"
"1993 OCT","7.9"
"1993 NOV","7.9"
"1993 DEC","7.8"
"1994 JAN","7.8"
"1994 FEB","7.7"
"1994 MAR","7.6"
"1994 APR","7.4"
"1994 MAY","7.3"
"1994 JUN","7.2"
"1994 JUL","7.3"
"1994 AUG","7.3"
"1994 SEP","7.2"
"1994 OCT","7.0"
"1994 NOV","7.0"
"1994 DEC","6.9"
"1995 JAN","7.0"
"1995 FEB","7.0"
"1995 MAR","7.1"
"1995 APR","7.0"
"1995 MAY","6.8"
"1995 JUN","6.9"
"1995 JUL","6.8"
"1995 AUG","6.9"
"1995 SEP","6.8"
"1995 OCT","6.9"
"1995 NOV","6.6"
"1995 DEC","6.5"
"1996 JAN","6.4"
"1996 FEB","6.3"
"1996 MAR","6.4"
"1996 APR","6.5"
"1996 MAY","6.5"
"1996 JUN","6.5"
"1996 JUL","6.4"
"1996 AUG","6.4"
"1996 SEP","6.4"
"1996 OCT","6.4"
"1996 NOV","6.4"
"1996 DEC","6.3"
"1997 JAN","6.2"
"1997 FEB","6.1"
"1997 MAR","6.0"
"1997 APR","5.8"
"1997 MAY","6.0"
"1997 JUN","6.1"
"1997 JUL","6.0"
"1997 AUG","5.8"
"1997 SEP","5.6"
"1997 OCT","5.6"
"1997 NOV","5.5"
"1997 DEC","5.5"
"1998 JAN","5.5"
"1998 FEB","5.4"
"1998 MAR","5.4"
"1998 APR","5.4"
"1998 MAY","5.5"
"1998 JUN","5.4"
"1998 JUL","5.4"
"1998 AUG","5.1"
"1998 SEP","5.1"
"1998 OCT","5.1"
"1998 NOV","5.2"
"1998 DEC","5.2"
"1999 JAN","5.2"
"1999 FEB","5.2"
"1999 MAR","5.2"
"1999 APR","5.2"
"1999 MAY","5.1"
"1999 JUN","5.1"
"1999 JUL","5.1"
"1999 AUG","5.1"
"1999 SEP","5.2"
"1999 OCT","5.1"
"1999 NOV","5.0"
"1999 DEC","5.1"
"2000 JAN","5.0"
"2000 FEB","5.1"
"2000 MAR","5.0"
"2000 APR","4.9"
"2000 MAY","4.7"
"2000 JUN","4.7"
"2000 JUL","4.5"
"2000 AUG","4.6"
"2000 SEP","4.7"
"2000 OCT","4.6"
"2000 NOV","4.5"
"2000 DEC","4.4"
"2001 JAN","4.4"
"2001 FEB","4.4"
"2001 MAR","4.4"
"2001 APR","4.3"
"2001 MAY","4.3"
"2001 JUN","4.2"
"2001 JUL","4.3"
"2001 AUG","4.3"
"2001 SEP","4.3"
"2001 OCT","4.4"
"2001 NOV","4.4"
"2001 DEC","4.4"
"2002 JAN","4.4"
"2002 FEB","4.4"
"2002 MAR","4.4"
"2002 APR","4.4"
"2002 MAY","4.4"
"2002 JUN","4.4"
"2002 JUL","4.5"
"2002 AUG","4.5"
"2002 SEP","4.5"
"2002 OCT","4.5"
"2002 NOV","4.5"
"2002 DEC","4.4"
"2003 JAN","4.4"
"2003 FEB","4.4"
"2003 MAR","4.4"
"2003 APR","4.3"
"2003 MAY","4.4"
"2003 JUN","4.5"
"2003 JUL","4.5"
"2003 AUG","4.5"
"2003 SEP","4.4"
"2003 OCT","4.3"
"2003 NOV","4.3"
"2003 DEC","4.2"
"2004 JAN","4.3"
"2004 FEB","4.3"
"2004 MAR","4.3"
"2004 APR","4.4"
"2004 MAY","4.3"
"2004 JUN","4.3"
"2004 JUL","4.2"
"2004 AUG","4.3"
"2004 SEP","4.4"
"2004 OCT","4.2"
"2004 NOV","4.3"
"2004 DEC","4.2"
"2005 JAN","4.4"
"2005 FEB","4.2"
"2005 MAR","4.2"
"2005 APR","4.3"
"2005 MAY","4.4"
"2005 JUN","4.2"
"2005 JUL","4.2"
"2005 AUG","4.3"
"2005 SEP","4.5"
"2005 OCT","4.7"
"2005 NOV","4.7"
"2005 DEC","4.8"
"2006 JAN","4.9"
"2006 FEB","4.9"
"2006 MAR","5.0"
"2006 APR","5.0"
"2006 MAY","5.2"
"2006 JUN","5.2"
"2006 JUL","5.2"
"2006 AUG","5.2"
"2006 SEP","5.2"
"2006 OCT","5.2"
"2006 NOV","5.3"
"2006 DEC","5.3"
"2007 JAN","5.2"
"2007 FEB","5.2"
"2007 MAR","5.2"
"2007 APR","5.1"
"2007 MAY","5.1"
"2007 JUN","5.1"
